date,day_number,active_users,avg_data_per_user,peak_hour_traffic,video_streaming,voice_calls,iot_devices,network_load,packet_loss,latency_ms
2023-01-01,0,1974,2.12,3514.72,1459.7,127.76,484,42.71,1.93,25.76
2023-01-02,1,1386,3.34,4317.55,2595.43,193.66,193,50.37,2.48,42.85
2023-01-03,2,1995,3.55,5703.12,3220.9,91.09,425,77.84,2.83,81.18
2023-01-04,3,1114,4.91,5346.08,2530.65,154.04,353,65.36,3.19,70.91
2023-01-05,4,1281,4.53,6394.33,3824.12,127.09,234,89.46,4.06,55.37
2023-01-06,5,1472,4.93,6755.47,3828.5,179.36,495,53.71,1.67,45.59
2023-01-07,6,1205,1.62,2013.8,1034.04,157.58,397,70.74,2.64,52.85
2023-01-08,7,1526,3.86,6681.46,3442.42,100.2,217,90.71,0.67,94.41
2023-01-09,8,1949,3.97,8672.69,5514.68,88.71,77,56.11,4.27,83.47
2023-01-10,9,895,0.66,676.56,378.64,117.73,107,57.39,4.09,11.83
2023-01-11,10,834,3.01,2257.96,1420.55,184.57,111,53.52,2.34,74.66
2023-01-12,11,1405,1.95,3002.17,1797.2,145.76,220,58.14,2.37,57.82
2023-01-13,12,1189,1.69,1995.52,852.38,99.34,348,35.47,0.15,87.21
2023-01-14,13,1714,3.98,6042.76,4162.13,157.28,235,50.69,0.18,95.93
2023-01-15,14,1257,1.32,1821.64,1024.77,98.0,129,36.01,3.13,29.99
2023-01-16,15,1326,1.22,1763.43,775.54,98.46,447,83.76,4.71,92.37
2023-01-17,16,1803,3.5,5542.31,3689.7,196.33,72,33.33,1.38,70.35
2023-01-18,17,1284,0.53,791.44,483.4,55.05,195,43.85,1.43,91.6
2023-01-19,18,840,3.5,3066.64,2077.3,93.1,244,57.72,0.2,78.5
2023-01-20,19,1585,3.89,5328.41,2423.42,56.42,120,60.5,4.87,50.46
2023-01-21,20,900,4.15,4446.16,2827.25,122.91,224,67.8,3.86,45.33
2023-01-22,21,1760,1.51,3073.21,1981.98,129.89,442,48.13,0.53,64.71
2023-01-23,22,1095,2.42,2512.45,1150.46,162.63,468,86.99,0.57,11.1
2023-01-24,23,1085,4.91,4619.0,2922.24,167.52,373,94.04,0.62,75.25
2023-01-25,24,1233,0.84,965.49,436.35,73.08,255,59.75,1.32,84.57
2023-01-26,25,1175,3.01,3707.48,1638.82,84.93,181,44.98,2.39,58.24
2023-01-27,26,1303,1.32,1866.91,786.6,128.73,261,43.45,0.09,41.43
2023-01-28,27,802,4.06,3012.29,1438.31,178.28,366,34.83,3.1,34.22
2023-01-29,28,1403,1.94,3182.38,1336.38,189.75,382,51.3,4.95,74.63
2023-01-30,29,1074,3.27,4046.27,2640.18,158.86,393,94.58,3.41,88.74
2023-01-31,30,1447,2.53,2982.99,1895.25,190.84,64,84.26,1.03,77.21
2023-02-01,31,1185,2.02,2063.77,1281.26,57.14,247,44.05,1.9,44.26
2023-02-02,32,1805,4.22,8409.14,3957.0,53.97,100,70.73,2.14,56.73
2023-02-03,33,994,4.37,4891.97,2420.97,107.17,68,79.75,0.83,83.87
2023-02-04,34,1343,4.78,6751.13,2781.57,62.54,355,72.65,0.74,94.19
2023-02-05,35,1824,3.28,5268.06,2252.92,113.73,157,64.14,1.52,11.17
2023-02-06,36,1615,0.64,1075.6,561.03,87.91,112,86.1,3.11,68.95
2023-02-07,37,1969,3.32,6039.62,3565.78,194.93,132,48.4,2.69,88.76
2023-02-08,38,1445,3.42,5388.69,2605.55,177.04,453,74.39,1.04,14.99
2023-02-09,39,1649,3.01,5077.72,2066.47,120.02,117,71.37,2.25,78.36
2023-02-10,40,1658,4.23,6667.02,4022.49,164.5,56,64.51,2.85,93.55
2023-02-11,41,1796,3.9,8117.48,5133.12,164.85,470,60.13,2.35,95.64
2023-02-12,42,1324,2.34,2847.59,1835.36,76.8,56,67.23,0.88,87.09
2023-02-13,43,892,4.48,3291.72,2286.13,151.96,442,92.36,1.76,93.97
2023-02-14,44,1243,1.94,2811.08,1902.34,87.37,202,73.78,1.34,76.64
2023-02-15,45,1932,1.74,3568.52,2180.32,85.97,124,53.77,3.55,58.57
2023-02-16,46,881,4.31,3385.52,2110.46,169.32,246,91.69,3.84,74.04
2023-02-17,47,1087,4.76,4320.28,2189.06,129.31,285,77.71,1.63,58.05
2023-02-18,48,1779,4.05,8223.78,3585.51,56.47,59,57.02,4.66,41.17
2023-02-19,49,1357,2.04,2697.95,1310.29,126.69,454,87.06,2.54,74.31
2023-02-20,50,1982,1.35,2970.45,1798.17,68.9,369,72.79,3.97,83.86
2023-02-21,51,1054,3.1,3456.73,1470.1,76.73,234,43.76,3.56,78.57
2023-02-22,52,1289,4.07,4731.25,3045.64,108.81,50,59.38,1.86,50.6
2023-02-23,53,853,3.83,3430.86,2002.81,88.67,83,55.27,1.89,18.86
2023-02-24,54,863,0.86,767.26,338.01,175.77,181,33.95,3.59,40.66
2023-02-25,55,1097,2.23,2769.37,1720.82,150.24,244,59.09,1.22,37.9
2023-02-26,56,1997,2.66,6062.6,3439.74,69.02,290,50.19,3.12,26.48
2023-02-27,57,1069,1.71,1608.85,1113.57,179.27,279,58.47,2.39,86.32
2023-02-28,58,1686,1.72,2564.48,1622.82,102.06,187,64.91,4.0,23.05
2023-03-01,59,1460,0.8,991.88,560.75,175.62,471,48.0,2.05,37.64
2023-03-02,60,1297,2.55,3222.52,1850.36,140.64,281,67.06,2.17,68.42
2023-03-03,61,1018,3.0,3503.0,2264.0,66.65,283,82.91,3.65,53.69
2023-03-04,62,877,2.59,2623.98,1625.04,170.3,284,49.51,2.49,29.78
2023-03-05,63,1205,0.74,952.65,517.72,106.97,432,78.38,1.03,59.94
2023-03-06,64,1191,3.77,4851.9,2049.7,139.38,325,43.28,3.27,74.38
2023-03-07,65,1153,1.46,1967.47,1268.82,79.69,123,71.59,3.01,79.91
2023-03-08,66,1179,0.97,1009.56,515.31,152.67,71,77.27,4.12,14.6
2023-03-09,67,1601,4.25,7408.97,4993.15,106.21,226,35.16,1.67,52.41
2023-03-10,68,1170,2.15,2216.31,1057.9,113.36,397,31.33,0.03,97.72
2023-03-11,69,1411,4.38,6402.84,3769.41,133.3,253,53.99,4.57,63.16
2023-03-12,70,1127,3.39,3160.63,1388.35,69.28,384,59.38,3.36,43.3
2023-03-13,71,1509,2.7,4325.92,2767.13,153.51,341,55.84,1.64,92.62
2023-03-14,72,1966,0.72,1515.0,834.47,162.75,337,46.34,0.36,15.1
2023-03-15,73,958,3.52,2799.49,1305.34,104.75,372,94.91,1.76,41.87
2023-03-16,74,829,2.72,2583.81,1042.66,131.54,299,37.91,3.82,33.49
2023-03-17,75,1432,1.47,1907.02,952.75,126.62,450,36.06,3.21,42.68
2023-03-18,76,1774,3.69,6117.91,3518.88,60.88,139,41.09,3.71,56.19
2023-03-19,77,1069,3.02,3371.65,2354.27,168.85,323,82.6,1.47,11.46
2023-03-20,78,1627,1.59,2431.26,992.56,82.04,79,68.91,3.53,10.3
2023-03-21,79,1363,4.39,6063.45,2609.82,196.21,223,77.59,0.37,39.87
2023-03-22,80,1066,1.89,1747.75,1200.33,132.74,364,83.96,4.51,25.02
2023-03-23,81,1808,2.44,4712.03,2732.7,154.76,53,93.36,2.53,36.21
2023-03-24,82,1662,3.97,5815.01,2829.68,106.68,430,36.91,1.13,13.31
2023-03-25,83,928,1.81,1598.54,978.36,199.97,240,69.07,2.77,26.22
2023-03-26,84,1772,1.76,2526.6,1191.73,85.93,111,37.93,0.85,63.13
2023-03-27,85,1803,0.77,1468.56,609.61,59.89,216,52.45,3.21,92.2
2023-03-28,86,1221,2.74,3562.24,1519.45,81.0,261,60.32,2.22,59.11
2023-03-29,87,1814,4.59,6882.84,3092.49,165.81,62,34.97,0.04,73.54
2023-03-30,88,1381,1.46,2068.39,1103.47,104.95,368,41.2,1.33,81.26
2023-03-31,89,1258,3.23,4021.32,2733.35,179.92,185,69.2,2.22,63.76
2023-04-01,90,1460,0.62,1055.26,604.7,140.09,163,42.67,4.47,43.43
2023-04-02,91,1343,3.86,4598.19,2018.01,141.01,437,64.82,1.43,50.38
2023-04-03,92,1347,0.56,745.24,364.02,136.55,192,45.84,4.85,90.41
2023-04-04,93,1830,2.48,5000.57,3434.96,98.66,441,61.23,1.5,85.97
2023-04-05,94,1074,1.45,1623.76,1103.65,125.49,71,40.97,3.39,62.09
2023-04-06,95,1549,3.18,5097.43,2407.51,74.19,86,56.89,2.47,24.26
2023-04-07,96,1630,4.13,6784.7,3008.04,57.46,387,56.47,1.47,89.25
2023-04-08,97,1935,1.09,1817.81,1180.98,70.33,175,82.21,1.29,66.13
2023-04-09,98,1392,0.69,871.58,550.96,52.2,482,46.05,0.61,43.39
2023-04-10,99,1487,0.53,731.38,383.93,141.28,180,54.53,0.61,87.39
2023-04-11,100,1622,1.83,2410.16,1248.72,123.01,495,68.64,2.56,44.5
2023-04-12,101,1680,0.57,833.07,543.26,60.67,453,72.37,2.13,98.49
2023-04-13,102,1182,0.88,1099.13,455.49,100.81,445,80.04,4.62,85.35
2023-04-14,103,1347,2.89,3645.46,1509.97,111.39,91,91.39,0.28,82.16
2023-04-15,104,1081,3.55,4150.95,2733.7,70.61,50,52.1,2.52,15.17
2023-04-16,105,1189,3.57,3699.97,1683.05,57.33,415,73.12,3.42,83.97
2023-04-17,106,828,2.22,2087.68,1367.05,198.41,282,72.25,3.98,56.67
2023-04-18,107,1128,2.28,2873.22,1637.13,140.5,190,39.08,0.54,88.71
2023-04-19,108,969,0.58,621.11,337.59,127.03,487,37.88,4.09,11.88
2023-04-20,109,1344,3.02,4471.44,2985.04,109.69,86,91.77,2.72,15.94
2023-04-21,110,1879,3.73,7408.57,3873.01,192.96,499,70.96,0.37,77.43
2023-04-22,111,1392,4.22,6844.46,4725.24,75.82,268,92.73,3.74,92.72
2023-04-23,112,1537,3.12,4092.03,1712.41,136.76,385,88.81,4.3,55.11
2023-04-24,113,1402,1.79,2510.6,1445.05,73.79,131,35.6,2.03,37.45
2023-04-25,114,1050,4.74,5853.68,3466.14,162.47,179,74.57,4.15,53.24
2023-04-26,115,1434,2.16,2742.89,1686.17,139.31,402,53.1,0.49,55.25
2023-04-27,116,884,1.09,902.47,446.2,125.62,351,68.24,3.13,53.42
2023-04-28,117,1503,2.09,3345.32,2261.44,132.35,267,43.11,4.8,94.14
2023-04-29,118,1004,2.87,3222.49,2178.88,137.28,486,81.19,3.19,59.41
2023-04-30,119,1883,2.94,5017.92,3410.37,98.07,198,44.69,1.92,35.97
2023-05-01,120,1832,3.67,7998.3,3954.22,193.75,436,32.43,4.56,15.37
2023-05-02,121,858,4.77,3402.58,1982.85,181.01,456,38.12,0.57,12.44
2023-05-03,122,1786,1.78,2583.51,1485.67,199.03,388,34.33,0.78,44.06
2023-05-04,123,850,3.22,2250.2,1502.1,187.96,421,49.15,4.3,95.05
2023-05-05,124,1062,4.74,4164.26,2383.65,159.51,498,46.33,3.61,96.71
2023-05-06,125,893,3.93,3255.12,2268.18,81.44,496,54.64,3.02,84.68
2023-05-07,126,1656,3.41,5488.04,3286.3,127.0,498,89.92,0.31,29.18
2023-05-08,127,1710,0.82,1604.62,1061.41,115.74,139,71.99,2.93,86.98
2023-05-09,128,1660,4.1,6448.2,2608.63,121.79,61,80.56,4.06,42.88
2023-05-10,129,1876,3.24,6158.87,3896.26,194.5,444,43.32,1.5,64.19
2023-05-11,130,1113,1.94,2390.42,1586.48,68.97,497,67.77,1.08,88.8
2023-05-12,131,1949,3.42,5415.69,2171.07,91.71,441,90.04,3.13,27.59
2023-05-13,132,1740,3.24,5246.09,2876.15,141.88,292,49.64,2.5,27.03
2023-05-14,133,1132,2.64,3512.57,1920.95,121.68,102,89.05,0.43,26.54
2023-05-15,134,1676,3.42,5039.73,2246.31,72.5,494,41.75,0.31,35.05
2023-05-16,135,1712,1.0,1381.63,727.76,164.81,470,50.96,4.87,16.42
2023-05-17,136,1192,1.54,2153.83,1449.39,135.17,53,38.24,3.37,97.28
2023-05-18,137,1218,3.11,3756.35,1773.61,95.59,218,47.72,2.36,31.43
2023-05-19,138,1292,2.24,2656.23,1252.48,171.32,124,66.24,1.52,37.87
2023-05-20,139,1096,2.87,3044.47,2037.54,131.55,90,94.0,0.74,30.42
2023-05-21,140,1157,3.4,3866.64,2478.89,54.53,239,77.71,1.82,93.38
2023-05-22,141,1109,3.55,3559.21,2398.01,122.6,387,49.65,0.52,41.61
2023-05-23,142,806,2.81,2452.29,1048.16,132.54,102,42.04,4.69,57.34
2023-05-24,143,1656,1.12,2088.52,1218.33,149.63,374,78.25,0.76,13.84
2023-05-25,144,934,1.14,856.33,367.13,80.31,443,62.89,0.14,94.66
2023-05-26,145,1161,2.79,3187.28,1592.93,65.08,131,44.82,3.09,81.56
2023-05-27,146,966,2.41,2020.98,816.33,133.49,282,93.67,1.92,21.48
2023-05-28,147,1265,2.76,3512.75,2158.26,104.32,250,78.86,1.29,18.96
2023-05-29,148,1178,2.92,2874.23,1902.46,81.76,414,34.85,4.56,80.04
2023-05-30,149,1351,2.79,3743.14,2008.94,180.73,362,79.05,4.65,28.17
2023-05-31,150,957,3.37,3659.99,1786.36,159.75,238,56.0,2.46,34.14
2023-06-01,151,804,3.2,2300.22,1286.75,180.35,189,62.91,3.02,62.32
2023-06-02,152,1935,4.26,7960.32,5004.87,103.7,436,87.51,3.09,37.11
2023-06-03,153,816,1.82,1315.32,528.55,127.52,291,60.63,3.62,86.71
2023-06-04,154,1384,2.02,3329.07,1946.08,175.56,482,79.43,4.62,43.44
2023-06-05,155,1462,2.57,4363.12,2310.72,181.75,482,56.97,0.38,98.71
2023-06-06,156,1250,4.74,6701.55,3186.41,129.94,243,87.38,2.73,76.6
2023-06-07,157,1467,1.04,1291.07,743.7,168.58,340,79.76,2.23,40.05
2023-06-08,158,1953,2.9,6773.91,3187.09,54.34,481,55.02,0.29,44.68
2023-06-09,159,1774,3.96,7033.95,3531.0,137.95,164,78.49,1.9,36.67
2023-06-10,160,1757,0.8,1490.58,701.14,121.89,366,46.12,0.03,86.91
2023-06-11,161,1350,3.3,4744.14,2043.39,61.92,281,62.42,0.33,56.08
2023-06-12,162,1584,3.52,6264.4,3012.94,57.13,353,78.56,4.67,53.51
2023-06-13,163,1612,0.98,1780.18,985.7,154.52,77,91.75,3.42,67.62
2023-06-14,164,1384,1.56,2461.68,1250.83,52.92,256,30.18,1.86,17.99
2023-06-15,165,1677,2.86,5441.5,2339.92,145.78,231,34.79,4.91,84.75
2023-06-16,166,878,2.74,2498.1,1069.41,173.22,328,69.13,2.81,49.24
2023-06-17,167,1872,2.45,4282.84,1998.44,124.16,237,47.9,4.19,27.99
2023-06-18,168,1417,2.14,2943.26,1365.29,79.84,125,79.7,1.81,85.33
2023-06-19,169,1567,1.27,2266.17,1413.76,99.49,380,86.56,4.22,94.54
2023-06-20,170,1620,3.86,5104.13,3389.96,133.61,199,61.78,2.48,68.54
2023-06-21,171,991,0.73,763.17,526.73,165.45,383,44.44,1.09,54.98
2023-06-22,172,994,4.73,4787.06,2991.63,156.19,112,70.01,4.41,92.36
2023-06-23,173,1171,4.01,5166.99,2327.37,81.87,69,57.2,2.02,35.64
2023-06-24,174,1570,2.3,3181.16,2169.4,61.65,394,41.34,2.13,36.5
2023-06-25,175,1521,3.45,5964.89,3278.45,160.72,347,54.59,4.9,17.64
2023-06-26,176,1948,1.22,2795.01,1223.67,61.76,166,64.6,1.74,49.43
2023-06-27,177,1012,1.4,1148.23,623.35,96.14,396,62.86,3.47,24.89
2023-06-28,178,1755,1.82,3564.08,1724.82,159.57,232,90.32,0.81,16.15
2023-06-29,179,1748,3.22,5751.04,3199.7,124.1,493,79.99,3.24,49.3
2023-06-30,180,1358,0.75,1152.15,731.63,164.5,74,72.82,4.13,44.92
2023-07-01,181,1527,1.12,1652.18,1031.4,91.94,198,32.34,3.05,51.74
2023-07-02,182,1083,4.22,5186.56,2204.8,117.79,376,30.78,3.16,86.46
2023-07-03,183,1867,1.78,2922.78,1806.43,193.24,179,81.56,3.01,66.47
2023-07-04,184,1934,3.14,6097.3,4149.37,144.69,357,53.29,1.51,29.76
2023-07-05,185,810,3.6,3438.65,1806.08,153.32,435,46.79,0.94,45.9
2023-07-06,186,895,1.73,1427.86,837.42,53.98,228,31.73,2.48,50.91
2023-07-07,187,1184,1.31,1477.29,626.32,109.18,211,92.48,2.06,56.45
2023-07-08,188,1919,4.66,9502.46,5037.32,82.95,468,94.98,4.64,39.44
2023-07-09,189,1051,4.99,6054.66,2833.79,184.68,56,80.65,2.84,58.08
2023-07-10,190,1801,2.49,5131.75,2199.05,140.12,372,73.78,4.54,22.23
